heightmap_id,category,terrace_steps,steps_4,steps_6,steps_8,steps_10,steps_12,steps_16,gamma,edge_sigma,morph_strength,contrast,homogeneity,energy,correlation,entropy,height_mean,height_std,hist_entropy,gradient_mean
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,1.500000,1.500000,2.000000,3.647924,0.892819,0.427025,0.972152,1.767501,0.688282,0.127985,4.154744,0.004030
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,1.500000,3.000000,1.000000,5.575803,0.725132,0.226782,0.984879,2.757656,0.546559,0.215546,5.968750,0.008596
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,2.000000,1.500000,2.000000,5.637509,0.855543,0.376441,0.979775,2.206849,0.574409,0.187855,4.558771,0.005913
Bark__bark 24_height,Bark,4,1,0,0,0,0,0,2.000000,4.500000,0.500000,6.129279,0.628562,0.159595,0.985653,2.710293,0.409297,0.232386,6.000000,0.010832
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,0.500000,0.500000,0.500000,8.668104,0.878402,0.549274,0.963794,1.176875,0.779735,0.173170,4.512602,0.007230
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,0.500000,3.000000,2.000000,0.785830,0.898440,0.517352,0.986240,0.382637,0.865503,0.082661,1.701238,0.002210
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,0.500000,4.500000,2.000000,0.588484,0.888658,0.476547,0.987807,0.361556,0.857409,0.076649,1.811278,0.002202
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,0.500000,0.500000,2.000000,2.752317,0.959967,0.681053,0.964377,0.252886,0.878399,0.094179,1.031644,0.002232
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,1.000000,1.500000,0.500000,7.314361,0.706297,0.260314,0.980002,2.923466,0.618539,0.214668,5.937500,0.010229
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,1.000000,4.500000,2.000000,1.071124,0.837927,0.239048,0.988276,0.838947,0.732278,0.107216,2.988285,0.003465
Bark__bark 24_height,Bark,6,0,1,0,0,0,0,1.500000,0.500000,1.500000,7.181029,0.884186,0.415246,0.971855,0.995699,0.614439,0.179959,3.767477,0.006420
